h1,h2,h3,lr,reg,init,activation,train_acc,train_loss,val_acc,val_loss,time,weight_path,log_path,test_acc
256,128,64,0.01,0.001,he,sigmoid,29.784444444444446,2.315797383853857,28.74,2.329310674285815,607.6,weights/best_model_he_sigmoid_256_128_64_lr0.01_reg0.001.pkl,logs/history_he_sigmoid_256_128_64_lr0.01_reg0.001.pkl,29.439999999999998
256,128,64,0.01,0.001,xavier,relu,61.260000000000005,1.4362314347557348,52.28,1.6775023865749326,587.2,weights/best_model_xavier_relu_256_128_64_lr0.01_reg0.001.pkl,logs/history_xavier_relu_256_128_64_lr0.01_reg0.001.pkl,52.25
256,128,64,0.01,0.001,xavier,tanh,57.053333333333335,1.5547279105131795,51.16,1.71570896115378,614.02,weights/best_model_xavier_tanh_256_128_64_lr0.01_reg0.001.pkl,logs/history_xavier_tanh_256_128_64_lr0.01_reg0.001.pkl,52.03
256,128,64,0.01,0.001,xavier,sigmoid,26.79555555555556,2.2973559472471177,25.92,2.309833620535489,629.18,weights/best_model_xavier_sigmoid_256_128_64_lr0.01_reg0.001.pkl,logs/history_xavier_sigmoid_256_128_64_lr0.01_reg0.001.pkl,26.63
256,128,64,0.01,0.001,normal,relu,20.47111111111112,2.0631398077891787,19.96,2.073533980266116,596.45,weights/best_model_normal_relu_256_128_64_lr0.01_reg0.001.pkl,logs/history_normal_relu_256_128_64_lr0.01_reg0.001.pkl,20.380000000000003
256,128,64,0.01,0.001,normal,tanh,27.46666666666667,1.921850548524482,27.46,1.9371702895965763,607.09,weights/best_model_normal_tanh_256_128_64_lr0.01_reg0.001.pkl,logs/history_normal_tanh_256_128_64_lr0.01_reg0.001.pkl,27.700000000000003
256,128,64,0.01,0.001,normal,sigmoid,10.0,2.3340020378625232,10.0,2.3340020689677474,616.99,weights/best_model_normal_sigmoid_256_128_64_lr0.01_reg0.001.pkl,logs/history_normal_sigmoid_256_128_64_lr0.01_reg0.001.pkl,10.0
256,128,64,0.001,0.0,he,relu,44.553333333333335,1.5924799734017068,43.52,1.6217664563398473,620.86,weights/best_model_he_relu_256_128_64_lr0.001_reg0.0.pkl,logs/history_he_relu_256_128_64_lr0.001_reg0.0.pkl,43.69
256,128,64,0.001,0.0,he,tanh,43.97555555555556,1.6096249820231157,43.1,1.6336090489162345,618.38,weights/best_model_he_tanh_256_128_64_lr0.001_reg0.0.pkl,logs/history_he_tanh_256_128_64_lr0.001_reg0.0.pkl,42.67
256,128,64,0.001,0.0,he,sigmoid,21.12444444444445,2.2759881828665423,21.04,2.2767879894591125,655.74,weights/best_model_he_sigmoid_256_128_64_lr0.001_reg0.0.pkl,logs/history_he_sigmoid_256_128_64_lr0.001_reg0.0.pkl,20.75
256,128,64,0.001,0.0,xavier,relu,42.96,1.626865358226059,41.54,1.6508460323195824,595.79,weights/best_model_xavier_relu_256_128_64_lr0.001_reg0.0.pkl,logs/history_xavier_relu_256_128_64_lr0.001_reg0.0.pkl,41.949999999999996
256,128,64,0.001,0.0,xavier,tanh,42.45555555555556,1.665086256959664,41.22,1.690281797939367,603.03,weights/best_model_xavier_tanh_256_128_64_lr0.001_reg0.0.pkl,logs/history_xavier_tanh_256_128_64_lr0.001_reg0.0.pkl,41.55
256,128,64,0.001,0.0,xavier,sigmoid,23.04888888888889,2.292879584735479,23.26,2.2931878204688414,623.37,weights/best_model_xavier_sigmoid_256_128_64_lr0.001_reg0.0.pkl,logs/history_xavier_sigmoid_256_128_64_lr0.001_reg0.0.pkl,23.57
256,128,64,0.001,0.0,normal,relu,12.382222222222222,2.3025566907220165,12.52,2.3025585521928416,592.54,weights/best_model_normal_relu_256_128_64_lr0.001_reg0.0.pkl,logs/history_normal_relu_256_128_64_lr0.001_reg0.0.pkl,12.709999999999999
256,128,64,0.001,0.0,normal,tanh,13.897777777777778,2.302493570726777,15.78,2.302493602122855,610.15,weights/best_model_normal_tanh_256_128_64_lr0.001_reg0.0.pkl,logs/history_normal_tanh_256_128_64_lr0.001_reg0.0.pkl,16.23
256,128,64,0.001,0.0,normal,sigmoid,10.0,2.3025848177377566,10.0,2.302584825136009,648.85,weights/best_model_normal_sigmoid_256_128_64_lr0.001_reg0.0.pkl,logs/history_normal_sigmoid_256_128_64_lr0.001_reg0.0.pkl,10.0
256,128,64,0.001,0.0001,he,relu,45.25555555555555,1.6190847176820082,43.72,1.6531512984195564,636.36,weights/best_model_he_relu_256_128_64_lr0.001_reg0.0001.pkl,logs/history_he_relu_256_128_64_lr0.001_reg0.0001.pkl,44.14
256,128,64,0.001,0.0001,he,tanh,44.12888888888889,1.6562779708285436,43.0,1.6875846022895165,616.15,weights/best_model_he_tanh_256_128_64_lr0.001_reg0.0001.pkl,logs/history_he_tanh_256_128_64_lr0.001_reg0.0001.pkl,43.34
256,128,64,0.001,0.0001,he,sigmoid,23.67333333333333,2.3256173387935606,23.880000000000003,2.326345468353903,622.6,weights/best_model_he_sigmoid_256_128_64_lr0.001_reg0.0001.pkl,logs/history_he_sigmoid_256_128_64_lr0.001_reg0.0001.pkl,23.919999999999998
256,128,64,0.001,0.0001,xavier,relu,42.49333333333333,1.6908518362177507,41.28,1.7192141956328006,598.94,weights/best_model_xavier_relu_256_128_64_lr0.001_reg0.0001.pkl,logs/history_xavier_relu_256_128_64_lr0.001_reg0.0001.pkl,41.949999999999996
256,128,64,0.001,0.0001,xavier,tanh,42.64888888888888,1.6916322643255453,41.620000000000005,1.717110190277972,655.85,weights/best_model_xavier_tanh_256_128_64_lr0.001_reg0.0001.pkl,logs/history_xavier_tanh_256_128_64_lr0.001_reg0.0001.pkl,41.75
256,128,64,0.001,0.0001,xavier,sigmoid,20.675555555555555,2.3315198468517337,20.4,2.331826074523672,666.86,weights/best_model_xavier_sigmoid_256_128_64_lr0.001_reg0.0001.pkl,logs/history_xavier_sigmoid_256_128_64_lr0.001_reg0.0001.pkl,20.8
256,128,64,0.001,0.0001,normal,relu,10.131111111111112,2.30667356879964,13.06,2.306673784250396,603.32,weights/best_model_normal_relu_256_128_64_lr0.001_reg0.0001.pkl,logs/history_normal_relu_256_128_64_lr0.001_reg0.0001.pkl,12.67
256,128,64,0.001,0.0001,normal,tanh,16.68888888888889,2.306604515761274,17.16,2.306607604605405,604.03,weights/best_model_normal_tanh_256_128_64_lr0.001_reg0.0001.pkl,logs/history_normal_tanh_256_128_64_lr0.001_reg0.0001.pkl,16.43
256,128,64,0.001,0.0001,normal,sigmoid,10.0,2.306707612532178,10.0,2.306707646163717,658.39,weights/best_model_normal_sigmoid_256_128_64_lr0.001_reg0.0001.pkl,logs/history_normal_sigmoid_256_128_64_lr0.001_reg0.0001.pkl,10.0
256,128,64,0.001,0.001,he,relu,44.47333333333333,2.043125136346512,43.48,2.073203552590205,628.23,weights/best_model_he_relu_256_128_64_lr0.001_reg0.001.pkl,logs/history_he_relu_256_128_64_lr0.001_reg0.001.pkl,43.14
256,128,64,0.001,0.001,he,tanh,43.577777777777776,2.072120977770365,42.64,2.1015524107729817,615.11,weights/best_model_he_tanh_256_128_64_lr0.001_reg0.001.pkl,logs/history_he_tanh_256_128_64_lr0.001_reg0.001.pkl,42.9
256,128,64,0.001,0.001,he,sigmoid,22.044444444444444,2.735053911462462,21.74,2.735516647736602,646.22,weights/best_model_he_sigmoid_256_128_64_lr0.001_reg0.001.pkl,logs/history_he_sigmoid_256_128_64_lr0.001_reg0.001.pkl,22.71
256,128,64,0.001,0.001,xavier,relu,42.66666666666667,2.014685266928578,41.7,2.034508723638832,588.97,weights/best_model_xavier_relu_256_128_64_lr0.001_reg0.001.pkl,logs/history_xavier_relu_256_128_64_lr0.001_reg0.001.pkl,42.230000000000004
256,128,64,0.001,0.001,xavier,tanh,42.23111111111111,2.0300056885501965,41.68,2.053403607335964,602.95,weights/best_model_xavier_tanh_256_128_64_lr0.001_reg0.001.pkl,logs/history_xavier_tanh_256_128_64_lr0.001_reg0.001.pkl,41.71
